Column_Name,Duplicate_Values_Percentage,NaN_Values_Percentage,Most_Frequent_Value,Section,Data_Type
req_user_agent,95.94%,0.00%,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",B,categorical
req_x_forwarded_for,90.74%,0.00%,175.45.188.252,B,categorical
req_x_forwarded_proto,100.00%,0.00%,https,B,categorical
resp_access_control_allow_credentials,100.00%,98.06%,True,F,boolean
resp_access_control_allow_headers,100.00%,99.72%,"Origin,Content-Type,Accept,Authorization",F,categorical
resp_access_control_allow_methods,98.25%,99.72%,"GET,POST,PUT,DELETE,OPTIONS,PATCH",F,categorical
resp_access_control_allow_origin,100.00%,98.06%,https://filkompedia.yogarn.my.id,F,categorical
resp_access_control_expose_headers,100.00%,98.06%,Set-Cookie,F,categorical
resp_allow,100.00%,99.97%,POST,F,categorical
resp_cache_control,80.16%,98.14%,no-cache,F,categorical
resp_connection,99.30%,0.01%,keep-alive,F,categorical
resp_content_length,69.69%,7.32%,62.0,F,numerical
resp_content_type,97.33%,5.45%,application/json,F,categorical
resp_date,0.31%,0.01%,"Mon, 05 May 2025 09:11:31 GMT",F,categorical
resp_etag,25.47%,98.14%,"W/""263-ENxHmdncDYaigAopFb5wWklfwBA""",F,categorical
resp_server,100.00%,0.01%,nginx/1.26.3,F,categorical
resp_set_cookie,0.02%,77.06%,"refresh_token=nbHD3DQRMOoX_KRoMhXWnifPPPB8O07CjqOK2tRzOY8=; expires=Tue, 27 May 2025 06:21:21 GMT; path=/; HttpOnly; secure; SameSite=None",F,categorical
resp_vary,99.71%,0.68%,Origin,F,categorical
response_body,58.41%,98.87%,<html>\x0d\x0a<head><title>400 Bad Request</title></head>\x0d\x0a<body>\x0d\x0a<center><h1>400 Bad Request</h1></center>\x0d\x0a<hr><center>nginx/1.26.3</center>\x0d\x0a</body>\x0d\x0a</html>\x0d\x0a,H,categorical
rule_ids,87.88%,0.33%,"10001,10008",H,categorical
sql_injection,88.95%,0.33%,True,H,boolean
sql_severity,100.00%,11.34%,2.0,H,numerical
sql_value,100.00%,100.00%,N/A,H,mixed
ssrf,99.50%,0.33%,True,H,boolean
ssrf_severity,100.00%,0.83%,0.0,H,boolean
ssrf_value,100.00%,100.00%,N/A,H,mixed
status_code,65.02%,0.00%,401,H,numerical
target,99.50%,0.33%,ssrf,H,categorical
targeted_filed,100.00%,100.00%,N/A,H,mixed
timestamp,0.31%,0.00%,05/May/2025:09:11:31 +0000,A,categorical
txn_id,0.00%,0.00%,174832244539.81943,A,numerical
uri,88.51%,0.00%,/api/v1/auths/login,H,categorical
xss,99.84%,0.33%,False,H,boolean
xss_severity,100.00%,99.84%,2.0,H,numerical
xss_value,100.00%,100.00%,N/A,H,mixed
